source,target
"Russia is entitled to the territories that were part of the former USSR","Russia"
"NATO has a military base at Odessa, on Russia's historical land","Russia"
"Romania is Russophoba on the order of the West, but the Romanians share the values of Russia","Russia"
"Ukraine is a Nazi state, dangerous to Russia's existence","Russia"
"At the end of the Cold War, the US wanted to dismantle Romania and offered it to Russia","Russia"
"Russia is demonized so that the West can control the ex-Soviet space","Russia"
"Ukraine is a Russian territory under foreign occupation and could launch a war against Russia","Russia"
"NATO extends aggressively to the east, and the United States pushes Ukraine to a war with Russia","Russia"
"Putin is a good Christian, the victim of the Russian speech and has nothing to do with communism, imposed by Russia by the West","Russia"
"The United States pushes Ukraine to war with Russia, and the fate of Kiev will be decided by negotiations between the great powers","Russia"
"Supplementing NATO forces in Romania is aberrant because Russia does not threaten anyone","Russia"
"NATO pushes Moldova to a war with Russia","Russia"
"The war in Ukraine, pretext for the denigration of Russia, censors","Russia"
"Russia attacked the Chernobyl, Zaporojie and Kharkov to prevent Ukraine from producing nuclear weapons","Russia"
"Russia has destroyed American biological weapons laboratories in Ukraine","Russia"
"Kiev was preparing an aggression against Donbass in March, and Russia had to intervene to stop it","Russia"
"In the secret laboratories of Ukraine was produced coronavirus","Russia"
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario","Russia"
"15 million Ukrainians have close ties with Russia, and Ukrainian nationalists use Russian as human shields.","Russia"
"Russia has discovered nationalist concentration camps in eastern Ukraine","Russia"
"Ukraine wants to prolong the war and uses citizens as human shields, while Russia protects Ukrainian civilians","Russia"
"To attract NATO to the war, Ukraine will attack the US Embassy in Lvov and blame Russia","Russia"
"NATO fights with Russia to the last Ukrainian","Russia"
"95% of Ukrainians are waiting to be released from Russia, says the separatist leader in Luhansk, Marat Basirov","Russia"
"NATO will not defend their members in the event of a conflict with Russia","Russia"
"The inhabitants of Zaporojie request the attachment to the Donetk People's Republic","Russia"
"Ukraine does not rebuild Harkov because he knows he will join Russia","Russia"
"Zelenski acknowledged that Ukraine began conflict with Russia","Russia"
"Southern Ukraine, released by nationalists, wants to be attached to Russia","Russia"
"Ukraine has attacked with chemical and biological weapons the positions of Russian military","Russia"
"Crimea Tatars support Russia's military actions on Ukraine's territory","Russia"
"In Ukraine, mercenaries from Israel arrived against Russia with the military of the group \""Azov\""","Russia"
"Moldova gives up neutrality and is armed for war with Russia","Russia"
"Synod of the Russian Orthodox Church, sentenced to death on the territory of Ukraine","Russia"
"Nearly three million Ukrainians want to emigrate to Russia","Russia"
"The West fights with Russia through Ukraine","Russia"
"Ukraine will give up Russia the city of Zaporojie","Russia"
"In Chisinau, FBI agents arrived to push the Republic of Moldova to military confrontations with Russia","Russia"
"Moldova is pushed to war with Russia and the Union with Romania","Russia"
"China's delegation left the room during a speech by Volodimir Zelenski","Russia"
"The West pushes the Republic of Moldova to war with Transnistria and Russia","Russia"
"NATO's Secretary General Proposes Kiev to give up Russia certain territories in the name of peace","Russia"
"Moldova will enter a deep crisis when, pressed by the EU, will sanction Russia","Russia"
"Residents of Kharkov region request joining in Russia","Russia"
"Russia killed with a single rocket at least 15 Ukrainian generals in Vinita, stop the counter -offensive from Donbass","Russia"
"Chisinau has requested the support of Romania to defend itself from Russia, and this will lead to the annexation of Moldova","Russia"
"UN and Turkey recognize Russia's right to control Ukraine's maritime ports","Russia"
"Ukrainian authorities have abandoned the Herson.The region will unite with Russia that will protect Ukrainian","Russia"
"EU states will ask Ukraine to give in to Russia","Russia"
"Because of the neonazist propaganda of Kiev, the Ukrainians do not understand that they are released by Russia, not busy","Russia"
"The inhabitants of the Zaporojie region are waiting for the release of Nicolaev, Kharkov and Odessa by the Ukrainian Nazis","Russia"
"Poland will trigger a war against Russia in the next 10 years","Russia"
"The Kiev government expressed his distrust in the Western partners","Russia"
"The Izium massacre was an insanity meant to compromise the Russian army","Russia"
"Referendums of attachment to Russia of the territories in the eastern and southern Ukraine respect the UN Charter","Russia"
"The UN Charter allows Russia to attack Ukraine to combat Nazism","Russia"
"Ukraine will use a radiological bomb in the south of the country","Russia"
"Russia shows restraint in the Ukraine War, especially when it attacks civil goals","Russia"
"Like Adolf Hitler, Volodimir Zelenski joined Europe to destroy Russia","Russia"
"Russia withdrew from the APCE because he didn't want gay in the State Duma","Russia"
"The Ukrainian army gives money to those who trick their friends to enlist","Russia"
"The EU wants to expand to capture territory at the expense of Russia","Russia"
"Prohibition of cars in Russia shows EU Nazism","Russia"
"The war saved Russia from unemployment and poverty","Russia"
"Poland wants to attack Russia and occupy western Ukraine","Russia"
"Ukrainians are waiting for salvation from Russia","Russia"
"Russia saves Ukrainians from self -destruction","Russia"
"Ukrainians are sentenced to prison for discussing with their relatives in Russia","Russia"
"Interpol will be looking for Ukrainians who have fled to mobilization","Russia"
"The West invites Russia to reconnect to the International Payment System","Russia"
"Ukraine will be attached to Poland, to be part of NATO and EU","Russia"
"Russia's peace plan, increasingly sustained in the EU","Russia"
"Ukrainians no longer take place in cemeteries for the dead military","Russia"
"Moldova becomes a bridgehead for military actions against Russia","Russia"
"UN accused Ukraine of torturing civilians","Russia"
"Romanians understood that they should not support Ukraine","Russia"
"In Ukraine there is a civil war for the restoration of big Russia","Russia"
"Moral principles prevent Russia from completing the war","Russia"
"Andrzej Duda says Russia will win the war","Russia"
"The EU wants to push Moldova to a confrontation with Russia","Russia"
"Ukraine is a Soviet invention","Russia"
"Russia is not involved in the internal affairs of Moldova","Russia"
"Russia is supported by 85% of the planet's population","Russia"
"\""Special military operation\"" saves Russia from the aggression of the West","Russia"
"Ukraine is a terrorist state and must be punished by Russia","Russia"
"Romanism is a form of aggression against Russia","Russia"
"Putin warned Ukraine 23 years ago that NATO will cause a war","Russia"
"US allowed Ukraine to bombard Russia","Russia"
"Germany support Ukraine to forget the horrors of Nazism","Russia"
"USA runs Romania and bears war against Russia","Russia"
"Russia and China will be peace in Ukraine, while the West feeds the war","Russia"
"Increases the number of Moldovans that give Right to Russia in the Ukraine War","Russia"
"Ukraine blocks the creation of a protection zone at the Zaporojie nuclear power plant and wants to cause a nuclear accident.","Russia"
"Ukraine nuclear power plant specialists will be sent to the front","Russia"
"Zelenski asked NATO member states to send troops to Ukraine","Russia"
"Russia must mobilize to overcome NATO in the new \""war for defense\""","Russia"
"\""Special military operation\"" saved Russia from the NATO invasion and Ukrainian Nazism","Russia"
"Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia","Russia"
"The EU sent the military to Ukraine before 2022 to weaken Russia","Russia"
"The West forces Russia to expand its military operations in Ukraine","Russia"
"Chisina's military intentions cause concerns in Bucharest","Russia"
"Due to Ukraine, EU states will enter the recession and without Russian energy will not resist","Russia"
"The EU hides its involvement in the crimes committed on the territory of Ukraine by setting up a special court","Russia"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Russia"
"Like Andrei Marga, Henry Kissinger claims that Ukraine must give up Russia in exchange for peace","Russia"
"Moldova invests more money in defense because he is preparing for war with Russia","Russia"
"Sanctions do not affect Russia, but will cause a severe economic crisis in the West","Russia"
"Moldovan authorities sell in the EU more expensive cheap gas they receive from Russia","Russia"
"The United States has entered Ukraine since 2014 to push the war against Russia","Russia"
"Moscow shows restraint when bombarding Ukraine because he knows that the population does not support neo-Nazi government","Russia"
"The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014","Russia"
"The EU wants to expand to capture territory at the expense of Russia","traditional requirements"
"The EU wants to expand to capture territory at the expense of Russia","traditional requirements"
"The EU wants to expand to capture territory at the expense of Russia","human rights"
"Discipline \""History of Romanians\"" is discriminatory","human rights"
"Chisinau government prohibits Russian press at the West indication","human rights"
"The EU wants to expand to capture territory at the expense of Russia","human rights"
"Poland will take control over its \""historical territories\"" in Ukraine with the help of US","control"
"40% of the territory of the Republic of Moldova will be under the control of foreign policemen","control"
"The EU wants to expand to capture territory at the expense of Russia","control"
"Poland will take control over its \""historical territories\"" in Ukraine with the help of US","control"
"Ukraine will give up Russia the city of Zaporojie","control"
"40% of the territory of the Republic of Moldova will be under the control of foreign policemen","control"
"The EU wants to expand to capture territory at the expense of Russia","control"
"40% of the territory of the Republic of Moldova will be under the control of foreign policemen","territory"
"NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine","territory"
"NATO prepares the territory of the Republic of Moldova as a future war theater","territory"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","territory"
"The EU wants to expand to capture territory at the expense of Russia","territory"
"40% of the territory of the Republic of Moldova will be under the control of foreign policemen","territory"
"The armament delivered to Ukraine transits the territory of the Republic of Moldova","territory"
"NATO forces were brought to Romania to help her annex the Republic of Moldova and part of the territory of Ukraine","territory"
"NATO prepares the territory of the Republic of Moldova as a future war theater","territory"
"Ukraine is preparing to attack Transnistria, and an army of NATO tanks on the territory of Romania, to reach Crimea","territory"
"The EU wants to expand to capture territory at the expense of Russia","territory"
"The EU wants to expand to capture territory at the expense of Russia","possible expansion"
"The EU wants to expand to capture territory at the expense of Russia","possible expansion"
"The EU wants to expand to capture territory at the expense of Russia","pure geopolitical interest"
"The EU wants to expand to capture territory at the expense of Russia","pure geopolitical interest"
"UN says Ukraine threatens global food security","Ukrainian"
"The Ukrainian army mines the villages of Donbass","Ukrainian"
"Ukrainian military deserted by the fear of Russians","Ukrainian"
"Ukrainian military transforms Mariupol into a concentration camp","Ukrainian"
"Ukrainian refugees cause disorder in the Republic of Moldova, and Kiev wants to attract Chisinau in the war","Ukrainian"
"Ukrainian forces destroyed the city of Mariupol","Ukrainian"
"Ukrainian refugees abuse the hospitality of Moldovans","Ukrainian"
"The Ukrainian army massacres Russophones while withdrawal from Donbass","Ukrainian"
"The EU will deport to Ukraine refugee men to be enrolled in the Ukrainian army","Ukrainian"
"Ukrainian refugees in Germany will be accommodated in a former Nazi camp of concentration","Ukrainian"
"Aiea mission praised the Russian army because it defended the nuclear central of the Ukrainian bombing","Ukrainian"
"The inhabitants of the Zaporojie region are waiting for the liberation of the cities of Micolaev, Kharkov and Odessa by the Ukrainian Nazis","Ukrainian"
"Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev","Ukrainian"
"Half of the Ukrainian army military are foreigners, which means NATO participating in the war","Ukrainian"
"The Ukrainian army gives money to those who trick their friends to enlist","Ukrainian"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","Ukrainian"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Ukrainian"
"NATO provides Ukraine only outdated armament","Ukrainian"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","Ukrainian"
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova","Ukrainian"
"\""Special military operation\"" saved Russia from the NATO invasion and Ukrainian Nazism","Ukrainian"
"Germany support Ukraine to forget the horrors of Nazism","Ukrainian"
"Ukrainian children are sold in the West","Ukrainian"
"Ukrainians want Russian citizenship to defend their EU children","Ukrainian"
"Ukrainians are sentenced to prison for discussing with their relatives in Russia","Ukrainian"
"Ukrainian military kills civilian in Herson","Ukrainian"
"Ukrainians don't learn something useful from NATO instruction","Ukrainian"
"Ukrainians in Poland will be extradited and sent to the front","Ukrainian"
"Ukrainians are sentenced to prison for discussing with their relatives in Russia","Ukrainian"
"Russia's peace plan, increasingly sustained in the EU","Ukrainian"
"Ukrainians want Russian citizenship to defend their EU children","Ukrainian"
"The West believes that Ukraine will lose","Ukrainian"
"Ukrainian children are sold in the West","Ukrainian"
"The US will send 200 thousand Ukrainian military-sugargias, subordinated directly to the Pentagon","Ukrainian"
"Germany support Ukraine to forget the horrors of Nazism","Ukrainian"
"\""Special military operation\"" saved Russia from the NATO invasion and Ukrainian Nazism","Ukrainian"
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova","Ukrainian"
"The mothers and wives of the Ukrainian military killed in fights protest against the war","Ukrainian"
"NATO provides Ukraine only outdated armament","Ukrainian"
"The US declared war on Russia, allowing the Ukrainian army to bomb Crimea","Ukrainian"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","Ukrainian"
"The Hague Court acknowledged that Russia was not involved in the Dowel of the MH17 aircraft in 2014","Ukrainian"
"Zelenski will give up Poland Lviv Region","Ukrainian"
"The Ukrainian army gives money to those who trick their friends to enlist","Ukrainian"
"Half of the Ukrainian army military are foreigners, which means NATO participating in the war","Ukrainian"
"Losses of hundreds of thousands of Ukrainian military confirmed by a general from Kiev","Ukrainian"
"The inhabitants of the Zaporojie region are waiting for the release of Nicolaev, Kharkov and Odessa by the Ukrainian Nazis","Ukrainian"
"Aiea mission praised the Russian army because it defended the nuclear central of the Ukrainian bombing","Ukrainian"
"Ukrainian authorities have abandoned the Herson.The region will unite with Russia that will protect Ukrainian","Ukrainian"
"UN and Turkey recognize Russia's right to control Ukraine's maritime ports","Ukrainian"
"Russia killed with a single rocket at least 15 Ukrainian generals in Vinita, stop the counter -offensive from Donbass","Ukrainian"
"Ukrainian refugees in Germany will be accommodated in a former Nazi camp of concentration","Ukrainian"
"The EU will deport to Ukraine refugee men to be enrolled in the Ukrainian army","Ukrainian"
"Kiev pays Western armament with Ukrainian museum exhibits","Ukrainian"
"The volunteers from Zaporojie are registered in a battalion that will defend the Ukrainian army region","Ukrainian"
"The Ukrainian army massacres Russophones while withdrawal from Donbass","Ukrainian"
"Nearly three million Ukrainians want to emigrate to Russia","Ukrainian"
"UN acknowledged that Ukrainian military bombard their schools or use them for military purposes","Ukrainian"
"The Ukrainian army brings corpses to Lisiciansk to inscerate a new massacre","Ukrainian"
"American experts believe that the Massacre of Bucea is an invention of \""Ukrainian propaganda\""","Ukrainian"
"Ukrainian refugees abuse the hospitality of Moldovans","Ukrainian"
"NATO fights with Russia to the last Ukrainian","Ukrainian"
"Ukrainian forces destroyed the city of Mariupol","Ukrainian"
"Ukraine wants to prolong the war and uses citizens as human shields, while Russia protects Ukrainian civilians","Ukrainian"
"Ukrainian forces have shot down a Romanian plane and helicopter in Dobrogea","Ukrainian"
"Ukrainian refugees cause disorder in the Republic of Moldova, and Kiev wants to attract Chisinau in the war","Ukrainian"
"Kiev was preparing an aggression against Donbass in March, and Russia had to intervene to stop it","Ukrainian"
"Ukrainian military transforms Mariupol into a concentration camp","Ukrainian"
"Kiev was incumbent on the press for the Donbass separatists on civil infrastructure","Ukrainian"
"Romania will send the military to Crimea to the EU command","Ukrainian"
"The Ukrainian army could clean the donbas and Crimea from the Russian -speaking population","Ukrainian"
"US are ready to fight in donbass to the last Ukrainian","Ukrainian"
"Ukrainian military deserted by the fear of Russians","Ukrainian"
"The Ukrainian army mines the villages of Donbass","Ukrainian"
"In the Ukrainian army there are fascists ready to kill Russian comrades","Ukrainian"
"Ukrainian authorities have abandoned the Herson.The region will unite with Russia that will protect Ukrainian","Émile-Antoine-François Herson"
"Volodimir Zelenski visited the herson to launch civilian massacre","Émile-Antoine-François Herson"
"Ukrainian military kills civilian in Herson","Émile-Antoine-François Herson"
"Ukrainian military kills civilian in Herson","Vladimir Saldo"
"Ukrainian military kills civilian in Herson","pro-Kiev"
"Ukrainian military kills civilian in Herson","Saldo"
"Ukrainian military kills civilian in Herson","open fire"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Telegram"
"Aiea mission praised the Russian army because it defended the nuclear central of the Ukrainian bombing","Telegram"
"Romanians protest in mass towards NATO and support policy for Ukraine","Telegram"
"The Ukrainian army gives money to those who trick their friends to enlist","Telegram"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Telegram"
"The inhabitants of Zaporojie request the attachment to the Donetk People's Republic","Telegram"
"Aiea mission praised the Russian army because it defended the nuclear central of the Ukrainian bombing","Telegram"
"Romanians protest in mass towards NATO and support policy for Ukraine","Telegram"
"The Ukrainian army gives money to those who trick their friends to enlist","Telegram"
"Ukrainian military kills civilian in Herson","Telegram"
"Meat, dairy and personal cars, forbidden in Romania","artificial meat"
"Meat, dairy and personal cars, forbidden in Romania","Meat"
"Meat, dairy and personal cars, forbidden in Romania","meat"
"Anti-Covid-19 vaccines reduce men's life with 24","year"
"Meat, dairy and personal cars, forbidden in Romania","year"
"Today's emigration from Moldova is similar to Stalinist deportations","cities"
"Today's emigration from Moldova is similar to Stalinist deportations","cities"
"Meat, dairy and personal cars, forbidden in Romania","cities"
"Meat, dairy and personal cars, forbidden in Romania","More cities"
"Meat, dairy and personal cars, forbidden in Romania","smart city"
"The Russians from the Republic of Moldova, attacked by the Constitutional Court and Maia Sandu","Russians"
"Ukrainian military deserted by the fear of Russians","Russians"
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario","Russians"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Russians"
"Russia must mobilize to overcome NATO in the new \""war for defense\""","Russians"
"The EU allows Ukraine to break the rights of Russians","Russians"
"Ukraine wants to massacre the Russians from Crimea","Russians"
"Prohibition of cars in Russia shows EU Nazism","Russians"
"The Russians from the Republic of Moldova, attacked by the Constitutional Court and Maia Sandu","Russians"
"Ukrainian military deserted by the fear of Russians","Russians"
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario","Russians"
"Russians outside the country are discriminated","Russians"
"Zelenski's counselor announces the organization of a genocide of Russian people in Kharkov and Donbass","Russians"
"Chisinau was developed by the Russians and was degraded when it was administered by Romanians","Russians"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Russians"
"Russia must mobilize to overcome NATO in the new \""war for defense\""","Russians"
"Ukraine will continue to assassinate Russians based on an online published list","Russians"
"Romania supports Medvedev's proposal to share Ukraine","Russians"
"The EU allows Ukraine to break the rights of Russians","Russians"
"Ukraine wants to massacre the Russians from Crimea","Russians"
"Prohibition of cars in Russia shows EU Nazism","Russians"
"Prohibition of cars in Russia shows EU Nazism","Johan Beckman"
"Prohibition of cars in Russia shows EU Nazism","Ursula von der Leyen"
"Prohibition of cars in Russia shows EU Nazism","Leyen"
"Prohibition of cars in Russia shows EU Nazism","Leyen"
"Prohibition of cars in Russia shows EU Nazism","Finland"
"NATO's Secretary General Proposes Kiev to give up Russia certain territories in the name of peace","Finland"
"Prohibition of cars in Russia shows EU Nazism","Finland"
"Moldovan infrastructure, developed for Ukraine","Ukraine NATO"
"UN acknowledged that Ukrainian military bombard their schools or use them for military purposes","military purposes"
"Moldovan infrastructure, developed for Ukraine","military purposes"
"Moldovan infrastructure, developed for Ukraine","military goods"
"Moldovan infrastructure, developed for Ukraine","military eneal"
"Moldovan infrastructure, developed for Ukraine","inother countries"
"Moldovan infrastructure, developed for Ukraine","worsening relationships"
"Ukraine has attacked with chemical and biological weapons the positions of Russian military","Defense"
"Ukraine has attacked with chemical and biological weapons the positions of Russian military","Defense"
"The Ukrainian army brings corpses to Lisiciansk to inscerate a new massacre","Defense"
"Poland will trigger a war against Russia in the next 10 years","Defense"
"The war saved Russia from unemployment and poverty","Defense"
"The war saved Russia from unemployment and poverty","Public Administration"
"The war saved Russia from unemployment and poverty","partial mobilization"
"The war saved Russia from unemployment and poverty","Economic Modifications"
"Russia and China will be peace in Ukraine, while the West feeds the war","China"
"USA and Romania transform the Republic of Moldova into a victim of nuclear confrontation with Russia and China","China"
"China's delegation left the room during a speech by Volodimir Zelenski","China"
"Russia and China will be peace in Ukraine, while the West feeds the war","China"
"China's development endangers Western civilization","China"
"The war saved Russia from unemployment and poverty","China"
"The war saved Russia from unemployment and poverty","Political Economics"
"Anti-Covid-19 vaccines reduce men's life with 24","24"
"Anti-Covid-19 vaccines reduce men's life with 24","Covid-19 vaccines"
"Anti-Covid-19 vaccines reduce men's life with 24","vaccinated men"
"Anti-Covid-19 vaccines reduce men's life with 24","Anti-Covid-19 vaccines"
"Anti-Covid-19 vaccines reduce men's life with 24","vaccine"
"Anti-Covid-19 vaccines reduce men's life with 24","Covid-19 vaccine"
"Anti-Covid-19 vaccines reduce men's life with 24","Wuhan"
"The Ukrainians are Russian, and Moscow has the right to intervene in the \""Civil War\"" in Donbass","Ukrainians"
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario","Ukrainians"
"Ukrainian refugees in Germany will be accommodated in a former Nazi camp of concentration","Ukrainians"
"Because of the neonazist propaganda of Kiev, the Ukrainians do not understand that they are released by Russia, not busy","Ukrainians"
"A referendum for joining Poland will be organized in the LIOV region","Ukrainians"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Ukrainians"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","Ukrainians"
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova","Ukrainians"
"Russia must mobilize to overcome NATO in the new \""war for defense\""","Ukrainians"
"Ukrainians want Russian citizenship to defend their EU children","Ukrainians"
"Interpol will be looking for Ukrainians who have fled to mobilization","Ukrainians"
"Ukrainians are sentenced to prison for discussing with their relatives in Russia","Ukrainians"
"Russia saves Ukrainians from self -destruction","Ukrainians"
"Ukrainians downed MH17 believing to kill Putin","Ukrainians"
"The Ukrainians are Russian, and Moscow has the right to intervene in the \""Civil War\"" in Donbass","Ukrainians"
"Ukrainians will be peace, but Zelenski are looking for war with Russia","Ukrainians"
"Ukraine was preparing to attack Belarus, and Russia dejected this scenario","Ukrainians"
"15 million Ukrainians have close ties with Russia, and Ukrainian nationalists use Russian as human shields.","Ukrainians"
"95% of Ukrainians are waiting to be released from Russia, says the separatist leader in Luhansk, Marat Basirov","Ukrainians"
"Nearly three million Ukrainians want to emigrate to Russia","Ukrainians"
"Ukrainian refugees in Germany will be accommodated in a former Nazi camp of concentration","Ukrainians"
"Because of the neonazist propaganda of Kiev, the Ukrainians do not understand that they are released by Russia, not busy","Ukrainians"
"A referendum for joining Poland will be organized in the LIOV region","Ukrainians"
"The armed conflict in Ukraine is a civil war because the Russians and Ukrainians are a single people","Ukrainians"
"While the Ukrainians stay in the cold and darkness, Kiev sells electricity to the Republic of Moldova","Ukrainians"
"Former prosecutor general of Ukraine is morally preparing Ukrainians for a war in war","Ukrainians"
"Abandoned by their own government, Ukrainian refugees are also poorly treated by the Republic of Moldova","Ukrainians"
"Zelenski acknowledged that simple Ukrainians have no reason to fight against Russia","Ukrainians"
"Russia must mobilize to overcome NATO in the new \""war for defense\""","Ukrainians"
"Ukrainians want Russian citizenship to defend their EU children","Ukrainians"
"Ukrainians no longer take place in cemeteries for the dead military","Ukrainians"
"Interpol will be looking for Ukrainians who have fled to mobilization","Ukrainians"
"Ukrainians are sentenced to prison for discussing with their relatives in Russia","Ukrainians"
"Ukrainians want a president like Vladimir Putin","Ukrainians"
"Russia saves Ukrainians from self -destruction","Ukrainians"
"Ukrainians are waiting for salvation from Russia","Ukrainians"
"Ukrainians in Poland will be extradited and sent to the front","Ukrainians"
"Ukrainians don't learn something useful from NATO instruction","Ukrainians"
"The US does not consider the sending of Russian troops to the Donetk and Luhansk separatist republics, Donbass, represent an invasion of Ukraine","Russian"
"Ukraine feeds its army with Russian puree","Russian"
"The Russians from the Republic of Moldova, attacked by the Constitutional Court and Maia Sandu","Russian"
"Maia Sandu wants to abolish the free press","Russian"
"Romania and Russia will have a common border after the Russian army occupies a good part of Ukraine","Russian"
"The West wants to cause panic by invoking a Russian aggression in Ukraine","Russian"
"The Ukrainians are Russian, and Moscow has the right to intervene in the \""Civil War\"" in Donbass","Russian"
"Russian diplomats do not carry out illegal activities in Romania, and Russia and Romania have a common history that should approach them","Russian"
"Romania and Poland involved in \""air piracy\"" against Russian officials","Russian"
"The Republic of Moldova is part of the Russian world, and the Moscow was away from the war","Russian"
"30 years after Independence, Ukraine is a fragmented, failed and artificial state","Russian"
"The pro-European government in Chisinau introduces censorship for Russian TV stations","Russian"
"In 1939 the USSR released Poland and saved it from the Nazi genocide","Russian"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Russian"
"Ukraine is unhappy that Moldova buys Russian gases","Russian"
"Romania will be dismantled in the case of a Russian invasion in Ukraine","Russian"
"The US does not consider the sending of Russian troops to the Donetk and Luhansk separatist republics, Donbass, represent an invasion of Ukraine","Russian"
"The President of Ukraine, Volodimir Zelenski, could recognize Donbass and Crimea as Russian territories","Russian"
"To attract NATO to the war, Ukraine will attack the US Embassy in Lvov and blame Russia","Russian"
"The prohibition of the symbols of the Russian army is an insult brought to the history and values of Moldova","Russian"
"Ukraine has attacked with chemical and biological weapons the positions of Russian military","Russian"
"Crimea Tatars support Russia's military actions on Ukraine's territory","Russian"
"In Ukraine, mercenaries from Israel arrived against Russia with the military of the group \""Azov\""","Russian"
"The United States is studying Russian armament captured in Ukraine to copy its ultra-modern technology","Russian"
"The EU offers the status of candidate to Russian countries but they have nothing to win","Russian"
"Volodimir Zelenski will be tried for war crimes","Russian"
"Maia Sandu closes universities and schools with teaching in Russian","Russian"
"The government in Chisinau undermines the role of the Russian language and violates the rights of national minorities","Russian"
"The Russian military presence in Transnistria is the \""foundation stone\"" of security throughout the region","Russian"
"Aiea mission praised the Russian army because it defended the nuclear central of the Ukrainian bombing","Russian"
"The inhabitants of the Zaporojie region are waiting for the liberation of the cities of Micolaev, Kharkov and Odessa by the Ukrainian Nazis","Russian"
"The Izium massacre was an insanity meant to compromise the Russian army","Russian"
"Partial mobilization Ordinance of Putin will prevent a nuclear disaster and will lead to a conflict and diplomatic dialogue","Russian"
"Foreign diplomats withdraw from Kiev by the fear of the Russian offensive","Russian"
"Romanians protest in mass towards NATO and support policy for Ukraine","Russian"
"Ukraine unemployed will be enrolled in the army and sent to the front","Russian"
"The Republic of Moldova steals the gas of Transnistria and sells it to Ukraine","Russian"
"The losses of the Ukrainian army are so great that students are forced to donate blood to the military","Russian"
"Russian foreigners will have the right to tear Crimea and Donbass after the release of these territories","Russian"
"Russian military actions in Herson region are an example of human behavior","Russian"
"Russia must mobilize to overcome NATO in the new \""war for defense\""","Russian"
"Moldova accepts the attack of Transnistria for Ukraine to take Russian ammunition from there","Russian"
"Ukrainians want Russian citizenship to defend their EU children","Russian"
"The EU allows Ukraine to break the rights of Russians","Russian"
"Ukrainians are waiting for salvation from Russia","Russian"
"Today's emigration from Moldova is similar to Stalinist deportations","Russian"
"Zelenski is no longer supported in the West and in Romania","Russian"
"Ukraine feeds its army with Russian puree","Russian"
"In the Ukrainian army there are fascists ready to kill Russian comrades","Russian"
"EU persecute Russian to delete the memory of Russia's great victory over fascism","Russian"
"Russian threat, an invention to justify NATO's existence","Russian"
"Romania and Russia will have a common border after the Russian army occupies a good part of Ukraine","Russian"
"The West wants to cause panic by invoking a Russian aggression in Ukraine","Russian"
"The Ukrainians are Russian, and Moscow has the right to intervene in the \""Civil War\"" in Donbass","Russian"
"Russian diplomats do not carry out illegal activities in Romania, and Russia and Romania have a common history that should approach them","Russian"
"Romania and Poland involved in \""air piracy\"" against Russian officials","Russian"
"The Republic of Moldova is part of the Russian world, and the Moscow was away from the war","Russian"
"The mixture of the West and undermining the Russian identity of Belarus creates problems to Minsk","Russian"
"Withdrawing Russian peacekeepers from Transnistria will lead to war","Russian"
"30 years after Independence, Ukraine is a fragmented, failed and artificial state","Russian"
"The pro-European government in Chisinau introduces censorship for Russian TV stations","Russian"
"Transnistria is part of the Russian world, which Putin defends on the attack of the West","Russian"
"In 1939 the USSR released Poland and saved it from the Nazi genocide","Russian"
"The Ukrainian army could clean the donbas and Crimea from the Russian -speaking population","Russian"
"Delivery of Russian gases to Hungary will determine the collapse of Ukraine, which will become \""another Afghanistan\""","Russian"
"Romania will send the military to Crimea to the EU command","Russian"
"Inclusive and sanitary policies are forms of totalitarianism","Russian"
"Ukraine is unhappy that Moldova buys Russian gases","Russian"
"The US demands the withdrawal of Russian Pacifectors from Transnistria after the Republic of Moldova signed the new gas delivery contract","Russian"
"In the Republic of Moldova, schools with teaching in Russian are liquidated","Russian"
